18010295000142		4789004	RUA REGENTE FEIJO 987	CENTRO	15265000	1734841145	20130425
32893730000155		9602502	AVENIDA 12 DE MARCO 911	CENTRO	15265000	1896599092	20190226
33299300000172		4781400	RUA CAPITAO GONCALVES 820	JD ALTO DA BOA VISTA	15265000	1896584651	20190409
34435083000163		9602501	RUA Castro Alves 875	centro	15265000	1896507030	20190805
36381759000109		4520001	RUA SANTO GALDIOLLI 965	ALTO DA BOA VISTA	15265078	1898089415	20200214
37477157000112		4783101	RUA SANTO GALDIOLI 955	JD ALTO DA BOA VISTA	15265000	1898224336	20200621
43910980000172		9602501	RUA REGENTE FEIJO 1516	JD ALTO DA BOA VISTA	15265000	1897146433	20211018
45026322000148		9602501	10A RUA DOS LIRIOS 1149	JARDIM BELA VISTA	15265000	1153081693	20220126
47296168000150		4520001	10A RUA DOS LIRIOS 1160	JARDIM BELA VISTA	15265000	1836941063	20220726
53393707000171		4741500	RUA MONTEIRO LOBATO 1049	CENTRO	15265000	1796520111	20240106
54938015000124		4723700	11A AVENIDA DOZE DE MARCO 941	CENTRO	15265000	1836911710	20240429
