23967379000109		1091102	RUA MAXIMINIANO R MARTINS 55	CENTRO	18360000	1535524097	20160113
27111139000169		4530703	RUA PROF ELIAS LAGES DE MAGALHAES 257	CENTRO	18360000	1535577752	20170215
30905853000133		8592999	RUA Salvador Goncalves de Pontes 95	Centro	18360000	1599751944	20180711
39933555000121		4923001	RUA CACILDA LAGES PEREIRA CAVANI 01	CENTRO	18360000	1597519446	20201127
40668581000159		4929901	RUA RUA DA MATRIZ 43	CENTRO	18360000	1597519446	20210202
42866636000160		4399103	RUA ARGEMIRA DA SILVA FORTES 96	BAIRRO CDHU	18360000	1532025151	20210726
46888692000157		4330404	RUA PAULO JACINTO PEREIRA 17	CENTRO	18360039	1535571118	20220623
49571542000103		4399103	10A RUA RUA 3 CDHU 62	ITAOCA	18360000	1597723113	20230213
52052101000100		4399103	RUA GURUTUBA DOS MARTINS SN	GURUTUBA DOS MARTINS	18360000	1596622989	20230902
52060747000139		4924800	10A RUA HERCULINO DA SILVA ROSA 390	CENTRO	18360000	1535571118	20230904
52502311000152		4520006	RUA ANTONIO ARCEBISPO BRAGA 26	CENTRO	18360000	1596618571	20231011
